Window Height,1
Distance Between Main Limbs,11
Distance Between Main and Return Limbs,1
Cross Section of Main Limbs,1
Cross Section of Main Yokes,1
Cross Section of Return Parts,1
Flux Density in Main Limbs,1
Material,M100

Maximum Br,0.762102
Maximum Bmy1,0.510681
Maximum Bmy2, 0.510681

Phi,Br,Bmy1,Bmy2,B
0,0.381051,-0.381051,-0.484974,0
1,0.392512,-0.375059,-0.482108,0.0174524
2,0.403853,-0.368953,-0.479095,0.0348995
3,0.415071,-0.362735,-0.475936,0.052336
4,0.426162,-0.356406,-0.472632,0.0697565
5,0.437124,-0.349968,-0.469184,0.0871557
6,0.447953,-0.343424,-0.465593,0.104528
7,0.458645,-0.336775,-0.46186,0.121869
8,0.469197,-0.330024,-0.457987,0.139173
9,0.479607,-0.323172,-0.453974,0.156434
10,0.48987,-0.316222,-0.449823,0.173648
11,0.499984,-0.309175,-0.445534,0.190809
12,0.509946,-0.302034,-0.441111,0.207912
13,0.519753,-0.294802,-0.436552,0.224951
14,0.529401,-0.287479,-0.431861,0.241922
15,0.538888,-0.280069,-0.427038,0.258819
16,0.548211,-0.272573,-0.422085,0.275637
17,0.557366,-0.264995,-0.417004,0.292372
18,0.566352,-0.257335,-0.411795,0.309017
19,0.575166,-0.249598,-0.406461,0.325568
20,0.583804,-0.241784,-0.401003,0.34202
21,0.592265,-0.233897,-0.395424,0.358368
22,0.600545,-0.225938,-0.389723,0.374607
23,0.608642,-0.217911,-0.383904,0.390731
24,0.616554,-0.209817,-0.377968,0.406737
25,0.624278,-0.201659,-0.371917,0.422618
26,0.631811,-0.19344,-0.365753,0.438371
27,0.639153,-0.185162,-0.359477,0.45399
28,0.646299,-0.176828,-0.353091,0.469472
29,0.653249,-0.16844,-0.346598,0.48481
30,0.66,-0.16,-0.34,0.5
31,0.66655,-0.151512,-0.333298,0.515038
32,0.672896,-0.142977,-0.326494,0.529919
33,0.679038,-0.134399,-0.319591,0.544639
34,0.684973,-0.12578,-0.312591,0.559193
35,0.690699,-0.117123,-0.305495,0.573576
36,0.696215,-0.10843,-0.298307,0.587785
37,0.701519,-0.0997039,-0.291027,0.601815
38,0.706609,-0.0909475,-0.283659,0.615661
39,0.711484,-0.0821635,-0.276204,0.62932
40,0.716142,-0.0733543,-0.268666,0.642788
41,0.720582,-0.0645229,-0.261045,0.656059
42,0.724802,-0.0556718,-0.253345,0.669131
43,0.728802,-0.0468037,-0.245568,0.681998
44,0.73258,-0.0379214,-0.237716,0.694658
45,0.736134,-0.0290276,-0.229791,0.707107
46,0.739465,-0.0201249,-0.221797,0.71934
47,0.74257,-0.011216,-0.213735,0.731354
48,0.745449,-0.00230376,-0.205608,0.743145
49,0.7481,0.00660919,-0.197418,0.75471
50,0.750524,0.0155201,-0.189168,0.766044
51,0.75272,0.0244264,-0.180861,0.777146
52,0.754686,0.0333251,-0.172498,0.788011
53,0.756422,0.0422138,-0.164083,0.798636
54,0.757927,0.0510895,-0.155618,0.809017
55,0.759202,0.0599497,-0.147105,0.819152
56,0.760246,0.0687917,-0.138548,0.829038
57,0.761058,0.0776126,-0.129949,0.838671
58,0.761638,0.08641,-0.121309,0.848048
59,0.761986,0.095181,-0.112633,0.857167
60,0.762102,0.103923,-0.103923,0.866025
61,0.761986,0.112633,-0.095181,0.87462
62,0.761638,0.121309,-0.08641,0.882948
63,0.761058,0.129949,-0.0776126,0.891007
64,0.760246,0.138548,-0.0687917,0.898794
65,0.759202,0.147105,-0.0599497,0.906308
66,0.757927,0.155618,-0.0510895,0.913545
67,0.756422,0.164083,-0.0422138,0.920505
68,0.754686,0.172498,-0.0333251,0.927184
69,0.75272,0.180861,-0.0244264,0.93358
70,0.750524,0.189168,-0.0155201,0.939693
71,0.7481,0.197418,-0.00660919,0.945519
72,0.745449,0.205608,0.00230376,0.951057
73,0.74257,0.213735,0.011216,0.956305
74,0.739465,0.221797,0.0201249,0.961262
75,0.736134,0.229791,0.0290276,0.965926
76,0.73258,0.237716,0.0379214,0.970296
77,0.728802,0.245568,0.0468037,0.97437
78,0.724802,0.253345,0.0556718,0.978148
79,0.720582,0.261045,0.0645229,0.981627
80,0.716142,0.268666,0.0733543,0.984808
81,0.711484,0.276204,0.0821635,0.987688
82,0.706609,0.283659,0.0909475,0.990268
83,0.701519,0.291027,0.0997039,0.992546
84,0.696215,0.298307,0.10843,0.994522
85,0.690699,0.305495,0.117123,0.996195
86,0.684973,0.312591,0.12578,0.997564
87,0.679038,0.319591,0.134399,0.99863
88,0.672896,0.326494,0.142977,0.999391
89,0.66655,0.333298,0.151512,0.999848
90,0.66,0.34,0.16,1
91,0.653249,0.346598,0.16844,0.999848
92,0.646299,0.353091,0.176828,0.999391
93,0.639153,0.359477,0.185162,0.99863
94,0.631811,0.365753,0.19344,0.997564
95,0.624278,0.371917,0.201659,0.996195
96,0.616554,0.377968,0.209817,0.994522
97,0.608642,0.383904,0.217911,0.992546
98,0.600545,0.389723,0.225938,0.990268
99,0.592265,0.395424,0.233897,0.987688
100,0.583804,0.401003,0.241784,0.984808
101,0.575166,0.406461,0.249598,0.981627
102,0.566352,0.411795,0.257335,0.978148
103,0.557366,0.417004,0.264995,0.97437
104,0.548211,0.422085,0.272573,0.970296
105,0.538888,0.427038,0.280069,0.965926
106,0.529401,0.431861,0.287479,0.961262
107,0.519753,0.436552,0.294802,0.956305
108,0.509946,0.441111,0.302034,0.951057
109,0.499984,0.445534,0.309175,0.945519
110,0.48987,0.449823,0.316222,0.939693
111,0.479607,0.453974,0.323172,0.93358
112,0.469197,0.457987,0.330024,0.927184
113,0.458645,0.46186,0.336775,0.920505
114,0.447953,0.465593,0.343424,0.913545
115,0.437124,0.469184,0.349968,0.906308
116,0.426162,0.472632,0.356406,0.898794
117,0.415071,0.475936,0.362735,0.891007
118,0.403853,0.479095,0.368953,0.882948
119,0.392512,0.482108,0.375059,0.87462
120,0.381051,0.484974,0.381051,0.866025
121,0.369475,0.487693,0.386927,0.857167
122,0.357785,0.490263,0.392685,0.848048
123,0.345987,0.492683,0.398323,0.838671
124,0.334084,0.494954,0.40384,0.829038
125,0.322078,0.497074,0.409234,0.819152
126,0.309975,0.499042,0.414503,0.809017
127,0.297777,0.500858,0.419646,0.798636
128,0.285489,0.502522,0.424662,0.788011
129,0.273113,0.504033,0.429548,0.777146
130,0.260654,0.50539,0.434303,0.766044
131,0.248116,0.506593,0.438925,0.75471
132,0.235503,0.507642,0.443414,0.743145
133,0.222817,0.508537,0.447768,0.731354
134,0.210064,0.509276,0.451986,0.71934
135,0.197247,0.50986,0.456066,0.707107
136,0.184369,0.510289,0.460007,0.694658
137,0.171436,0.510563,0.463807,0.681998
138,0.15845,0.510681,0.467467,0.669131
139,0.145416,0.510643,0.470984,0.656059
140,0.132338,0.51045,0.474358,0.642788
141,0.119219,0.510101,0.477587,0.62932
142,0.106064,0.509597,0.480671,0.615661
143,0.0928769,0.508938,0.483608,0.601815
144,0.0796614,0.508124,0.486398,0.587785
145,0.0664216,0.507155,0.48904,0.573576
146,0.0531616,0.506031,0.491533,0.559193
147,0.0398854,0.504754,0.493876,0.544639
148,0.026597,0.503322,0.496069,0.529919
149,0.0133005,0.501738,0.49811,0.515038
150,9.5793e-13,0.5,0.5,0.5
151,-0.0133005,0.49811,0.501738,0.48481
152,-0.026597,0.496069,0.503322,0.469472
153,-0.0398854,0.493876,0.504754,0.45399
154,-0.0531616,0.491533,0.506031,0.438371
155,-0.0664216,0.48904,0.507155,0.422618
156,-0.0796614,0.486398,0.508124,0.406737
157,-0.0928769,0.483608,0.508938,0.390731
158,-0.106064,0.480671,0.509597,0.374607
159,-0.119219,0.477587,0.510101,0.358368
160,-0.132338,0.474358,0.51045,0.34202
161,-0.145416,0.470984,0.510643,0.325568
162,-0.15845,0.467467,0.510681,0.309017
163,-0.171436,0.463807,0.510563,0.292372
164,-0.184369,0.460007,0.510289,0.275637
165,-0.197247,0.456066,0.50986,0.258819
166,-0.210064,0.451986,0.509276,0.241922
167,-0.222817,0.447768,0.508537,0.224951
168,-0.235503,0.443414,0.507642,0.207912
169,-0.248116,0.438925,0.506593,0.190809
170,-0.260654,0.434303,0.50539,0.173648
171,-0.273113,0.429548,0.504033,0.156434
172,-0.285489,0.424662,0.502522,0.139173
173,-0.297777,0.419646,0.500858,0.121869
174,-0.309975,0.414503,0.499042,0.104528
175,-0.322078,0.409234,0.497074,0.0871557
176,-0.334084,0.40384,0.494954,0.0697565
177,-0.345987,0.398323,0.492683,0.052336
178,-0.357785,0.392685,0.490263,0.0348995
179,-0.369475,0.386927,0.487693,0.0174524
180,-0.381051,0.381051,0.484974,7.93266e-13
181,-0.392512,0.375059,0.482108,-0.0174524
182,-0.403853,0.368953,0.479095,-0.0348995
183,-0.415071,0.362735,0.475936,-0.052336
184,-0.426162,0.356406,0.472632,-0.0697565
185,-0.437124,0.349968,0.469184,-0.0871557
186,-0.447953,0.343424,0.465593,-0.104528
187,-0.458645,0.336775,0.46186,-0.121869
188,-0.469197,0.330024,0.457987,-0.139173
189,-0.479607,0.323172,0.453974,-0.156434
190,-0.48987,0.316222,0.449823,-0.173648
191,-0.499984,0.309175,0.445534,-0.190809
192,-0.509946,0.302034,0.441111,-0.207912
193,-0.519753,0.294802,0.436552,-0.224951
194,-0.529401,0.287479,0.431861,-0.241922
195,-0.538888,0.280069,0.427038,-0.258819
196,-0.548211,0.272573,0.422085,-0.275637
197,-0.557366,0.264995,0.417004,-0.292372
198,-0.566352,0.257335,0.411795,-0.309017
199,-0.575166,0.249598,0.406461,-0.325568
200,-0.583804,0.241784,0.401003,-0.34202
201,-0.592265,0.233897,0.395424,-0.358368
202,-0.600545,0.225938,0.389723,-0.374607
203,-0.608642,0.217911,0.383904,-0.390731
204,-0.616554,0.209817,0.377968,-0.406737
205,-0.624278,0.201659,0.371917,-0.422618
206,-0.631811,0.19344,0.365753,-0.438371
207,-0.639153,0.185162,0.359477,-0.45399
208,-0.646299,0.176828,0.353091,-0.469472
209,-0.653249,0.16844,0.346598,-0.48481
210,-0.66,0.16,0.34,-0.5
